Employee_ID,Experience_Years,Age,Department,Training_Hours,Salary,Salary_Per_Experience,Experience_Level
1,1,22,IT,10,35000,35000.0,Junior
2,2,23,HR,12,38000,19000.0,Junior
3,2,24,Finance,15,40000,20000.0,Junior
4,3,25,IT,18,43000,14333.333333333334,Junior
5,3,26,Marketing,20,45000,15000.0,Junior
6,4,27,Finance,22,48000,12000.0,Junior
7,4,28,IT,25,50000,12500.0,Junior
8,5,29,HR,24,53000,10600.0,Junior
9,5,30,Marketing,28,55000,11000.0,Junior
10,6,31,IT,30,58000,9666.666666666666,Mid-Level
11,6,32,Finance,32,60000,10000.0,Mid-Level
12,7,33,HR,35,63000,9000.0,Mid-Level
13,7,34,IT,34,65000,9285.714285714286,Mid-Level
14,8,35,Marketing,38,68000,8500.0,Mid-Level
15,8,36,Finance,40,70000,8750.0,Mid-Level
16,9,37,IT,42,73000,8111.111111111111,Mid-Level
17,9,38,HR,45,75000,8333.333333333334,Mid-Level
18,10,39,Finance,44,78000,7800.0,Mid-Level
19,10,40,Marketing,48,80000,8000.0,Mid-Level
20,11,41,IT,50,83000,7545.454545454545,Senior
21,11,42,Finance,52,85000,7727.272727272727,Senior
22,12,43,HR,55,88000,7333.333333333333,Senior
23,12,44,IT,54,90000,7500.0,Senior
24,13,45,Marketing,58,93000,7153.846153846154,Senior
25,13,46,Finance,60,95000,7307.692307692308,Senior
26,14,47,IT,62,98000,7000.0,Senior
27,14,48,HR,65,100000,7142.857142857143,Senior
28,15,49,Finance,68,105000,7000.0,Senior
29,16,50,IT,70,110000,6875.0,Senior
30,17,52,Marketing,72,115000,6764.705882352941,Senior
